id,gloss,text
0447,انا حضور تاريخ وقت محدد تاخير,حضرت للموعد متاخر
0448,انا رغبه شكوى سبب ازعاج,اريد تقديم شكوى بسبب الازعاج
0449,انا اخ رغبه طياره تخفيض,ابي يريد بدل اعاقه
0450,انا رغبه كلمه منزل نقل,اريد نقل ملكيه المنزل
0451,هو ملكيه منزل خوف انا,هو مالك المنزل الجديد
0452,انا جد رغبه حب سوال اخبار تلفاز,جدي يحب مشاهده الاخبار التلفزيونيه
0453,انا اخ بناء سوال جبل,اخي يبني بيت فوق الجبل
0454,رياضه فائده صحه,الرياضه مفيده للصحه
0455,انا مشاهده هويه نظر سوال الاربعاء,لقد وجدت هويتي يوم الاربعاء
0456,استفهام بطاقه يوجد,هل لديك رخصه
0457,ممنوع اكل بقره جبن انواع,ممنوع ان اكل منتجات الالبان
0458,انا جد جيد غني,جدي جيد وغني
0459,تقديم فقير اكل,اعطي الفقير اكل
0460,استفهام حب بقره او عصير,هل تحب الحليب ام العصير
0461,انا غرفه لون وردي,غرفتي لونها وردي
0462,موقع منزل سوال,ما هو عنوانك
0463,انا ضياع كتاب قصه,فقدت كتاب القصه
0464,اتصال زوج,اتصلت بزوجي
0465,هو طير دخل سرير تحت,الطائر تحت السرير
0466,انا طاعه جد,انا احترم جدي
0467,الان تاريخ اثنان عشر,اليوم هو الثاني من اكتوبر
0468,انا غدا منزل ترتيب تنظيف,انا ارتب المنزل يوميا
0469,استئذان غدا عوده,من قضلك تعال غدا
0470,انا رغبه دوره_مياه,اريد ان اذهب الى الحمام
0471,زوج هو شراء كل_يوم الجمعه منزل اعطاء,زوجي يشتري اغراض المنزل يوم الجمعه
0472,رغبه لا انتظار,اكره الانتظار
0473,مال دفع بطاقه سياره مال رخيص,رسوم رخصه القياده رخيصه
0474,انا رغبه صوره_شخصيه اربع,انا اريد اربع صور ضوئيه
0475,انا اخ عمل بدون,اخي عاطل عن العمل
0476,عمر ام انا اثنان_ثلاثون سن,عمر امي اثنان و ثلاثون سنه
0477,هو استفهام هو ولد شخص صفه سرقه سوال,صف الرجل الذي سرق
0478,هو ولد ولاده اتقان صباح,ولد الطفل سليم في الصباح
0479,مشاهده صعب تقلب سبب ازعاج صراخ,اجد صعوبه في النوم بسبب الازعاج
0480,انا اخ بنت زواج تاريخ السبت قادم,اختي ستتزوج يوم السبت القادم
0481,انا مشاهده معرفه مدرسه,انا استمع للدرس
0482,انا حفظ مدرسه داخل مدرسه,انا احفظ الدرس في المدرسه
0483,انا ام عمل داخل منزل داخل,امي تعمل في البيت
0484,انا رغبه تحويل د بطن,اريد تحويل من طبيب الجهاز الهضمي
0485,تاريخ سوال د عوده تاريخ سوال,متى سيعود الطبيب الى المستشفى
0486,انا ابن بنت عمر اربع_سنوات,ابنتي عمرها اربع سنوات
0487,انا سياره حافله,انا اقود الحافله
0488,انا زياره هو جد اسبوع مستمر,ازور جدي كل اسبوع
0489,انا سعيد سبب صيف اغلاق,انا سعيد بعطله الصيف
0490,انا لبس بنطال لون ازرق,انا البس بنطلون جينز ازرق
0491,انا استفراغ دوخه حمى الان,انا اتقيا واعاني من دوخه وحمى الان
0492,انا ذهاب فيلم سينما وقت اثنان ليل,انا اذهب الى السينما الساعه الثانيه مساء
0493,انا اخ عضو مع السعوديه قصه كره_قدم,اخي عضو في الفريق السعودي لكره القدم
0494,بيع جد بيع مزرعه,باع جدي المزرعه
0495,معلم بنت نداء اخ بنت,المعلمه تنادي اختي
0496,دراجه_ناريه هو خطر,الدراجه الناريه خطيره
0497,سوال اخر شهاده سوال,ما هي نتائج الاختبار
0498,انا غسل_يد قبل اكل,اغسل يدي قبل الاكل
0499,بنت هو لبس لون ابيض,المراه ترتدي لبس ابيض
0500,استفهام نسخ بطاقه هو,هل لديك نسخه من التصريح
0501,كيفيه كيمياء تقطيع ذوبان ز ب د ه,كيف تصنع الزبده
0502,ولد طلب بيتزا تقطيع حار,يطلب الرجل بيتزا دافئه
0503,اخ هو رغبه طلب شاي مع بقره,يطلب الاخ الشاي الدافئ مع الحليب
0504,انا رغبه دراجه اختيار,احتاج الى دراجه جديده
0505,سوال هو يوجد دهن ذوبان ز ب د ه,هل عندك زبده
0506,تنبيه سوال طفل هو طريقه سينما عرض ,سالني الطفل عن الطريق الى السينما
0507,سوال ولد هو طريقه طريق مركز,يسالني الرجل عن الطريق الى المعهد
0508,عوده خدمه مساعده سوال يوم الاربعاء اكل لوحه,ياتي النادل الى المطعم يوم الاربعاء
0509,شخص مدرسه سياره يوم الجمعه,يقود الطالب السياره يوم الجمعه
0510,استفهام سوال مشاهده قدره حذاء مشي حذاء سوال,اين يمكنني ان اجد الحذاء
0511,مشي وصول الان سوال سياره,ياتي النادل الى هنا بالسياره
0512,انا اخ سامع معرفه لغه اشاره,اخي السامع يتعلم لغه الاشاره
0513,انا انتظار وصول بقره اصلي,سانتظر وصول الحليب الطازج
0514,اعطاء هذا مال رخيص لا,الهديه ليست رخيصه
0515,الان تساقط حبه صغير ابيض تساقط زياده يوم الاثنين,سوف تتساقط الثلوج بكثره يوم الاثنين
0516,الان اخ صغير مجامله عنايه طفل مولود,اليوم اختي الصغرى تعتني بالطفل
0517,انا قدره غسل خزانه تعليق كل_سنه ثلاث_سنوات,اقوم بتنظيف خزانه ملابسي كل ثلاث سنوات
0518,انا ايجار غسل كنس نفسي سبب خدمه مرض هو,انظف الشقه بنفسي لان عامله التنظيف مريضه
0519,استفهام هو رغبه هو عسل او سكب,هل تختار المربى ام العسل
0520,كل_يوم الاحد مستمر جد خياطه ملابس,كل يوم احد تقوم جدتي بكي قميصي
0521,انا خزانه تعليق جميل,لدي خزانه جميله
0522,انا منزل فيلا راحه مع سوال زهره,لدي منزل مريح مع حديقه
0523,الان صباح الان تعب مرض بطن الم,هذا الصباح كنت اعاني من الام شديده في المعده
0524,تفضل زياره ام وصول منزل سبب انا مرض برد,تزورني و الدتي لانني مصابه بنزله برد
0525,انا قدره خزانه تعليق الان الخميس,ساحصل على خزانه هذا الخميس
0526,ام انا اعطاء شوربه,اعطتني و الدتي صحن شوربه
0527,اعطاء اخ خزانه تعليق ملابس,اعطاني اخي خزانه ملابس
0528,هو فلاح حوض هذا سوال هذا بيض,اعطاني المزارع سله من البيض
0529,هذا عطاء اب سوال طاوله تعليق خزانه,اعطاني والدي طاوله و خزانه
0530,انا حزين سبب اسره بعيد,انا حزين لانني افتقد عائلتي
0531,انا سعيد سبب جو اضاءه واضح شمس,انا سعيد بالطقس الجميل لانه مشمس و صافي
0532,الان اطفال مع اخذ ذهاب مدرسه انا,اليوم اخذ الاطفال الى المدرسه بنفسي
0533,ماضي عمل تعب صيف الان راحه سعيد,بالامس عملت كثير و اليوم انا استريح
0534,انا اخت بنت رغبه خياطه ملابس,اختي تريد خياطه البلوزه
0535,استفهام اسم هو كلب قصير اسم,ما اسم كلبك الصغير
0536,لا ماضي بطن الم لا_يوجد,لم يكن لدي الام في المعده امس
0537,انا سعيد سبب الحمدلله الان راس الم الحمدلله لا_يوجد,انا سعيد لانني لا اعاني من صداع اليوم
0538,الان مطر مشاهده صعب مشكله سبب مظله لا_يوجد,انها تمطر و هذه مشكله الان لانني لا املك مظله
0539,انا رغبه لا تعليق خزانه تعليق رغبه لا,لا اريد شراء الخزانه
0540,وجوب هو الان نوم,عليك ان تنام الان
0541,استفهام هو رغبه بيض ملح تذوق حار مع,هل تريد بيض بالملح و الفلفل
0542,انا اب هو رغبه بيض مع تذوق حار لا,والدي يريد بيض بدون فلفل
0543,انا رغبه منزل صغير مع فتح هواء,اريد منزل صغير به شرفه
0544,وجوب الان استيقاظ خبز ساعه اربع ربع صباح كل_يوم,يجب ان يستيقظ الخباز في الساعه الرابعه و ربع صباح كل يوم
0545,الان اكل كل_يوم ممكن,نادرا اكل العطور في الصباح
0546,انا الان لقاء صديق قديم منقط قديم,قابلت صديقي في المتحف
0547,لا دخان مع عمل دخان لا,لا تدخن اثناء العمل
0548,الان يوم ولاده تاريخ سوال شهر ماضي,كان عيد ميلادي الشهر الماضي
0549,انا شراء تذكره اربع سبب دخول فتح منقط قديم,ساشتري لك اربع تذاكر للمتحف
0550,رغبه بحث رغبه بنت زواج,ابحث عن فتاه للزواج
0551,انا اخ ابن طويل,ابن اخي طويل
0552,اخ خال بنت ابن مولود موت ماضي,ابن خالتي الرضيع توفي يوم امس
0553,انا ولد_عم انا كره مدرسه بعيد,ابن عمي يكره المدرسه
0554,انا ابن بنت دجاج شوي,ابنتي تشوي الدجاج
0555,انا ابن استيقاظ وقت قبل,ابني يستيقظ قبل الوقت
0556,اب تدريب مستمر صدقه دفع فقير دفع مستمر,ابي دائما يتصدق للفقراء
0557,انا اب اخبرني قول رغبه لون سوال,ابي قال لي يا خالد تحب اي لون ما هو
0558,انا اب اخ ولد_عم جميع عمل حداده حديد,ابي واخي و ابن عمي جميعهم يعملون بالحداده
0559,انا اب عمل رقم سوال وزاره تصليح,ابي يعمل محاسبا في وزاره الصناعه
0560,اخ بنت معلم كيمياء سوال ثانوي,اختي معلمه فيزياء فبي الثانويه
0561,انا اخ اختيار بنت شباب وجه جميل,اخي اختار شابه جميله
0562,انا اخ خاص تخصص تدريب قراءه_شفاه كلام,اخي اخصائي تدريب نطق
0563,انا اخ حزين سبب هو مع ذهاب مباراه كره_قدم,اخي حزين لانه لم يذهب معنا لمشاهده مباراه كره القدم
0564,انا اخ رسم تصميم علم السعوديه كتاب مدرسه,اخي رسم علم السعوديه في الدفتر المدرسي
0565,انا اخ معلم صم,اخي يعمل معلما للاشخاص الصم
0566,انا اسره ام اب ثلاث بنت ثلاث ولد اثنين ,اسرتي تتكون من امي و  ابي و  ثلاث بنات و  ثلاث اولاد اثنين
0567,انا صلاه خمس وقت اتقان,اصلي الصلوات الخمس في وقتها
0568,انا طاعه ام اب,اطيع ابي و امي
0569,انا معرفه رياضه فائده جسم,اعلم ان الرياضه مفيده للجسم
0570,اسبوع قريب ترفيه حفل ولد_عم زواج,الاسبوع القادم حفله زواج ابن عمي
0571,حمايه السعوديه ملاحقه تجاره مخدرات,الامن السعودي يلاحق تجار المخدرات
0572,اسبوع_قادم انا طياره سبب عمره احرام,الاسبوع القادم ساسافر لاداء العمره
0573,اسبوع_قادم قريب اب وصول الرياض,الاسبوع القادم والدي يصل الي الرياض
0574,بنت شخص هو حب لون وردي لون بنفسجي لون اصفر لون فضي,البنت تحب اللون الوردي و البنفسجي و الاصفر و الفضي
0575,شخص بنت حب موسيقى,البنت تحب الموسيقى
0576,دخان تدخين هو ممنوع قريب بنزين,التدخين ممنوع في محطات الوقود
0577,جميع حب سوال ولد شخص كريم,الجميع يحب الشخص الكريم
0578,ولد اشخاص السعوديه ملابس غتره عقال,الرجال السعوديون زيهم يتكون من غتره وعقال
0579,رحله سعيد جميع سعيد,الرحله ممتعه والجميع سعيد
0580,رحمه جميع انسان اشخاص مسلم,الرحمه صفه المسلم
0581,الرياض عاصمه السعوديه,الرياض عاصمه السعوديه
0582,ضباب حادث,الضباب يسبب حوادث السير
0583,طريق منزل امام قريب,الطريق امام بيتي ضيق
0584,شخص عمل هو شخص رسم منزل صبغ لون ابيض,العامل يصبغ البيت باللون الاحمر
0585,قرد اكل موز,القرد ياكل الموز
0586,كتاب فوق تعليق تعليق خزانه ملابس,الكتاب فوق خزانه الملابس
0587,لون احمر لون دم,اللون الاحمر هو لون الدم
0588,الان ليل غيوم زياده,الليله في غيوم كثيره
0589,شرب ري حديقه,الماء يسقي الزرع
0590,محامي دعم حق,المحامي يدعم الحق
0591,مخدرات انواع سبب مشكله خطر جسم انسان,المخدرات تسبب مشاكل خطره على جسم الانسان
0592,بنت خوف سوال ثعبان,المراه تخاف من الثعبان
0593,معلم هو تعليم مدرسه اشخاص سوال مكان مدرسه,المعلم يعلم الطلبه في المدرسه
0594,ملك السعوديه زياره سوال فرنسا,الملك السعودي يزور فرنسا
0595,انسان سعيد سبب اجازه عيد ذبح,الناس سعداء بسبب عيد الاضحى
0596,انسان جميع ابتسامه سبب قريب شهر رمضان,الناس فرحين جداً بسبب قرب شهر رمضان
0597,شخص ولد شراء زهره تقديم ام,الولد اشترى باقه زهور و قدمها لامه
0598,شخص ولد هو حب لون اسود لون رمادي ذهبي ازرق بني,الولد يحب اللون الاسود و الرمادي و الذهبي و الازرق و البني
0599,الان صيف اكل مكرونه كوسا دجاج,اليوم الظهر وجبه الغداء مكرونه و كوسا و دجاج
0600,الان عم زياره عوده منزل,اليوم عمي سيقوم بزيارتنا
0601,الان مدرسه الان معرفه رياضه فائده جسم,اليوم في المدرسه تعلمت الرياضه مفيده للجسم
0602,جد هو حب لون احمر شديد,اما جدي فيحب اللون الاحمر الشديد
0603,انا ام قدره وجه قدره عالم,امي اجمل امراه في العالم
0604,انا ام شراء متر عشرين م ت ر قماش,امي اشترت عشرين مترا قماشا
0605,انا ام خلط صيف اكل خلط سوال تقطيع رز سوال دجاج شواء,امي اعدت غداء اليوم وهو ملوخيه و رز و دجاج مشوي
0606,انا حب السعوديه عربيه جميع,انا احب السعوديه و الامه العربيه
0607,انا رغبه ذهاب سوال وقت سبع ربع,انا ارغب بالذهاب الساعه سبعه و ربع
0608,انا رغبه ذهاب طياره موقع فرنسا,انا ارغب بالسفر لفرنسا
0609,انا شرب ماء نظيف,انا اشرب الماء النظيف
0610,انا زكام اسبوع واحد,انا اصبت بالزكام لاسبوع واحد فقط
0611,انا عمل عشر_ساعات كل_يوم هو تعب,انا اعمل عشره ساعات يوميا و هذا متعب للغايه
0612,انا الان ذهاب سوال شراء صيدليه,انا اليوم اذهب لاشتري من الصيدليه
0613,انا ماضي مشاهده قرد جميل,انا امس شاهدت قرد حلو
0614,انا مساعده شخص كفيف,انا ساعدت الشخص الكفيف
0615,انا سعيد سبب زواج صديق ع ل ي انا لا,انا سعيد السبب زواج صديقي علي
0616,انا زواج ابن بنت عمر اربع_عشر سن ولد هو عمر احد_عشر ,انا متزوجه و عندي بنت عمرها اربعه عشر سنه و ولد عمره احد عشر سنه
0617,انا مفلس مال لا_يوجد مال  قليل شهر ,انا مفلس السبب الراتب لم استلمه
0618,انا خال مع ذهاب زهره,انا وخالي ذاهبان الي الحديقه
0619,هو تفضل ذهاب مسجد خطوات يمين,انت ادخل المسجد بقدمك اليمنى
0620,هو مدرسه تركيز سبب بعد ج اختبار قدره,انت ادرس بتركيز حتى تجيب على الامتحان جيدا
0621,هو شراء حمص فلافل,انت اشتري حمص وفلافل
0622,هو ماضي مشاهده تلفاز فيلم سينما هو,انت امس هل شاهدت تلفزيون فيلم
0623,هو خبير لغه اشاره ماشاءلله,انت خبير لغه اشاره ماشاءالله
0624,انت كذب كثير هو,انت كذاب كثير
0625,انسحاب تدريب دوره لغه اشاره موقع شرطه,انهيت دوره بلغه الاشاره في معهد الشرطه
0626,تفضل منزل جار,اهلا وسهلا بجارنا
0627,جميع تعب اعاقه,الجميع متعبين و منهكين
0628,انا مشاركه مع اخ,اشارك اخي
0629,ماضي انا ذهاب شركه اتصالات,بالامس ذهبت لشركه الاتصالات
0630,ماضي زياره تفضل منزل,بالامس زارنا ضيف
0631,ليل سياحه ممنوع,بالليل التجول ممنوع
0632,بعد اكل انتهاء انسحاب وجوب موقع نظيف سرعه,بعد اكل الطعام والانتهاء منه يجب تنظيف المكان بسرعه
0633,بعد اسبوع اثنان اب وصول الرياض,بعد اسبوعين يصل والدي الى الرياض
0634,منزل انا امام مسجد,بيتي امام المسجد
0635,تذكره كاس عالم مال سوال,تذكره كاس العالم ثمنها كم
0636,جد خلف مساعده قطف حبه اسود زيتون,جدي ساعدني في قطف اشجار الزيتون
0637,جد انا اخ سعيد سبب اب وصول صحه,جدي واخوتي سعداء بعوده ابي من السفر
0638,خال رئيس جمعيه صم سوال المغرب,خالي رئيس جمعيه الصم في المغرب
0639,انا خال زهره حديقه زهره,خالي يزرع الشجر
0640,داخل سياحه ممنوع اكل عصير انواع,داخل المعرض يمنع الاكل و الشرب
0641,انا مشاهده منزل جميل الرياض لون اصفر باب لون اسود,رايت بيتا جميلا في الرياض لونه اصفر والباب لونه اسود
0642,شخص ولد مسعف اسعاف احمر مساعده انسان,رجل الاسعاف يساعد الناس
0643,انا سعيد عمل مع صم,سعيده بالعمل مع الصم
0644,الان لقاء وقت احد_عشر نصف,سنتقابل الساعه احد عشر و نصف
0645,انا مشاهده رسم لون انواع,شاهدت الرسام يرسم بالوان متعدده
0646,صخر جبل تدحرج ,صخره كبيره من اعلى الجبل سقطت
0647,سمع جرس الم,صوت الجرس مزعج
0648,فيل صوت غير,صوت الفيل غريب
0649,مدرسه شخص هو خوف اختبار هو,طالب المدرسه خائف في الامتحان
0650,رقم اسره هو سوال,عدد افراد اسرتك كم
0651,رقم تفضل ترفيه حفل الف اعلى,عدد حضور الحفل الف و اكثر
0652,هو اكل قبل بعد وجوب غسل_يد,عند تناول الطعام قبل وبعد انا اغسل يدي
0653,سجن انا مشاهده شاب بكاء,في السجن انا رايت شاب يبكي
0654,صين منطقه هو جميع انسان حب رز مكرونه,في الصين جميع الناس يحبون الرز و المكرونه
0655,انا عمل صديق هو كسل تعب فاضي هو,في العمل زميل لي ممل و متعب و كسول
0656,انا لقاء عمل مسوول هو قول غدا عوده,قابلت الموظف المسؤول وقال لي راجعني غدا
0657,قبل ذهاب منزل  ضغط جرس صوت_جرس,قبل دخولي للمنزل اقرع جرس الباب
0658,قبل سن عشر ماضي انا ذهاب حج مع مركز صم,قبل عشر سنوات سافرت للحج مع مركز الصم
0659,كل_يوم قبل صباح انا استيقاظ,كل يوم قبل صلاه الفجر انا استيقظ
0660,ماشاءلله انت ممتاز,ما شاء الله انت رائع
0661,عمل طياره هو شخص تعامل ابتسامه,موظف المطار يتميز بحسن التعامل و الابتسامه
0662,شخص عمل خوف تعيين,موظف جديد تم تعيينه
0663,انا جميع دعم صديق صم,نحن ندعم اصدقائنا الصم
0664,رقم نسبه فاضي عمل لا_يوجد رقم زياده كل_سنه,نسبه البطاله في المجتمع تزداد كل عام
0665,نعم ماضي مشاهده فيلم سينما جميل واضح,نعم امس شاهدت فيلم جميل كثير
0666,انا محفظه داخل,نقودي اضعها داخل المحفظه
0667,هو شخص قبيح,هذا الشخص قبيح
0668,هو مدرسه جامعه انسحاب استفهام,هل انهيت دراستك الجامعيه
0669,استفهام هو كلام حق,هل تقول الصدق
0670,كل_يوم اخت بنت استيقاظ قبل صلاه صباح,يوميا اختي تستيقظ قبل صلاه الفجر
0671,سن مستمر جميع خير جميع,كل عام و انت بخير
0672,انا حب صفحه قصص قراءه,احب قراءه القصص
0673,استفهام هو نيه حب سوال,ما هي هواياتك
0674,انا رقم مال شركه مال خاص,انا محاسب مالي في شركه خاصه
0675,استفهام سوال موقع طياره,اين هو المطار
0676,تاريخ سوال طياره وقت,متى وقت الرحله
0677,استفهام طريقه ازدحام,هل الطريق مزدحم
0678,انا رغبه شراء بقره ابن مولود,اريد شراء حليب لطفلي الرضيع
0679,استفهام بنك الان مفتوح,هل البنك مفتوح اليوم
0680,لا مفلس مال لا_يوجد مظله,لا يوجد لدي مال لشراء مظله
0681,استفهام سوال معلم لغه عربيه,اين معلمه اللغه العربيه
0682,ابن بنت حب معلم مدرسه,ابنتي تحب معلمه الصف
0683,انا حفظ طياره فندق انا خاص,لدي حجز في الفندق
0684,استفهام غرفه فاضي_2 هو,هل لديك غرف شاغره
0685,انا لا حب دخان,انا لا احب التدخين
0686,انا حزن سوال سكر نسبه رخيص,اعاني من انخفاض في السكر
0687,انا رغبه دواء زكام صدر,اريد دواء للزكام و الكحه
0688,انا ابن صدر راس الم,ابني يعاني من كحه وصداع
0689,سياره نافذه ضرب كسر_نافذه هو,نافذه السياره مكسوره
0690,انا جوال عطل,هاتفي لا يعمل
0691,انا حب ذهاب بحر وقت اربع_العصر,احب الذهاب للبحر في العصر
0692,انا ذهاب اسره مع اسره مع سوال ابها تاريخ صيف,نذهب انا وعائلتي الي ابها في الصيف
0693,انا منزل ايجار صغير,انا اسكن في شقه صغيره
0694,انا عمل لا_يوجد,انا عاطل عن العمل
0695,انا خاص شهاده ثانوي,لدي شهاده الثانويه العامه
0696,استفهام هو خبره شهاده يوجد,هل لديك خبره
0697,انا عقل خبره شهاده انا لا_يوجد,ليس لدي خبره في هذا العمل
0698,استفهام سياره هو سوال اسم,مانوع سيارتك
0699,انا سياره لا_يوجد,ليس لدي سياره
0700,انا رغبه شراء سياره لون رمادي,اريد شراء سياره لونها رمادي
0701,انا رغبه اجازه عمل,اريد طلب اجازه من العمل
0702,رقم وقت طويل اجازه,كم مده الاجازه
0703,تاريخ فتح اجتماع,متى يبدا الاجتماع
0704,لا تاخير اجتماع,لا تتاخر على الاجتماع
0705,انا مدير طيب,مديري في العمل طيب
0706,هو صديق هو مساعده عمل,يساعدني زميلي في العمل
0707,انا الان عمل قدره,سانجز العمل اليوم
0708,انا لا زواج لا_يوجد,انا لست متزوج
0709,انا مع ام اب اخ مع,اعيش مع امي و ابي و اخوتي
0710,الان لقاء بنت خال ابن ماضي,التقيت بابن خالتي امس
0711,انا ذهاب مع اخ شركه اتصالات,ذهبت مع اخي الى شركه الاتصالات
0712,انا رغبه شراء سكر عسل لوحه بقاله,نحتاج شراء سكر وعسل من السوبرماركت
0713,انا مال انا لا_يوجد,ليس لدي مال كافي
0714,انا رغبه فتح رقم حساب بنك,اريد فتح حساب في البنك
0715,انا اخ بنت عمل د سن,اختي تعمل طبيبه اسنان
0716,انا اخ ولد مدرسه خطه الصين,اخي يدرس الهندسه في الصين
0717,انا ضياع محفظه مال,اضعت محفظه نقودي
0718,انا رغبه رقم محامي ذكي,احتاج رقم محامي ذكي
0719,انا قدره حج سن ماضي,قمت بالحج السنه الماضيه
0720,انا اخ انتهاء سجن افراج,خرج اخي من السجن
0721,الان مدرسه موضوع الان كيمياء صعب الان,درس الفيزياء صعب اليوم
0722,حبه اسود ز ي ت و ن حبه فائده جسم,الزيتون مفيد للجسم
0723,استفهام سوال موقع بنزين,اين محطه الوقود
0724,منطقه المغرب جميل,دوله المغرب جميله
0725,انا حب نار تقطيع رز مع ,احب الملوخبه مع الرز
0726,انا مشاهده ثعبان صخره تحت ,رايت ثعبان تحت الصخره
0727,انا رغبه لا فلافل,لا احب الفلافل
0728,انا اخ حب حمص,اخي يحب الحمص
0729,انا شراء ام عطر تقديم,اشتريت لامي عطر هديه
0730,فرنسا قدره عالم كاس,فرنسا فازت بكاس العالم لكره القدم
0731,انا شراء اخ بنت ساعه لون فضي ذهبي بنفسجي,اشتريت لاختي ساعه لونها ذهبي و بنفسجي
0732,استفهام قدره خزانه,هل استطيع ان افتح النافذه
0733,لا هو لا مال اعطاء الباقي,لم تعطيني باقي النقود
0734,كيفيه وصول موقع قطار باص,كيف اصل لمحطه الحافلات
0735,استفهام هو ترتيب واضح اعاده,هل يمكنك شرح ذلك مره اخرى
0736,استفهام انا قدره دخول,هل يمكنني الدخول
0737,استفهام رقم مال عطر,كم ثمن هذا العطر
0738,كيفيه وصول مكتبه موقع,كيف اصل الى المكتبه
0739,عطر ضياع اعاقه,العطر سقط و انكسر
0740,استفهام انا قدره حذاء دخول قدره,هل يمكنني ان اقيس الحذاء
0741,حذاء كبير رغبه صغير,الحذاء كبير اريد حذاء اصغر
0742,استفهام هو جاكيت كبير,هل لديكم جاكيت مقاس كبير
0743,رغبه سوال جاكيت نظر تجربه قياس لون احمر,اريد ان اقيس الجاكيت الاحمر
0744,انا رغبه حذاء مقاس رقم اربعون,اريد حذاء مقاس اربعين
0745,انا مشاهده فستان نظر سعيد لا,لم يعجبني الفستان هذا
0746,فستان ملابس صغير,الفستان هذا قصير جدا
0747,رقم شرطه جوال,كم رقم الشرطه
0748,شخص شعار احمر اسعاف سرعه,رجل الاسعاف سريع
0749,مباره كاس عالم الان ممتاز,مباراه كاس العالم اليوم ممتعه
0750,يوم الخميس مع اب سوال حديقه,يوم الخميس اذهب مع ابي الى المزرعه
0751,انا اخ رغبه رسم كتاب,اختي تحب الرسم في الدفتر
0752,خلط جد ماضي لذيذ,طبخ جدتي لذيذ
0753,طفل طفل بكاء سبب جوع,الطفل يبكي لانه جائع
0754,اعطاء ملح استئذان,اعطني الملح من فضلك
0755,بحر امتلاء ازدحام,الشاطئ مزدحم اليوم
0756,وجوب جميع كلام صدق مستمر,يجب ان تقول الصدق دائما
0757,لا خوف ثعبان,لا تخاف من الثعبان
0758,حديد حداد عمل ثقيل تعب,الحداده عمل متعب
0759,صغير رمي سوال قط,الطفل ضرب القطه
0760,انا اخ مشكله عم ابن مشكله,تشاجر اخي مع ابن عمي
0761,جد انا موت يوم الاربعاء,جدي توفي يوم الاربعاء
0762,انا اخ استفراغ مدرسه يكره,اخي يكره المدرسه
0763,انا ابن دجاج شواء ثاني سمك ,ابني يشوي الدجاج و السمك
0764,انا اب عم عمل حداد حديد,ابي وعمي يعملون بالحداده
0765,خال عمل وزاره تصليح,خالي يعمل في وزاره الصناعه
0766,انا رسم علم السعوديه سوال مدرسه داخل,انا رسمت علم السعوديه في الصف
0767,انا مستمر مشي كل_يوم رياضه,امارس رياضه المشي كل يوم
0768,سبعه اسبوع_الماضي انا عمره احرام,الاسبوع الماضي اديت العمره
0769,انا اب غتره عقال,يلبس ابي غتره و عقال
0770,استفهام عاصمه السعوديه,ما هي عاصمه السعوديه
0771,غيوم ثقيل بعد مطر,الغيوم الثقيله تجلب المطر
0772,تاجر تجاره مخدرات وصول سجن,تجار المخدرات يذهبون الى السجن
0773,معلم تعليم مدرسه قراءه,المعلم يعلم الطلبه القراءه
0774,اجازه عيد اجازه ذبح غدا فتح,اجازه عيد الاضحى تبدا غدا
0775,انا حب شهر رمضان,انا احب شهر رمضان
0776,رغبه جميع شراء دجاج كوسا مربى,نحتاج ان نشتري دجاج وكوسا ومربى
0777,غدا ولد_عم تفضل زياره منزل انا,غدا ابن عمي سيقوم بزيارتنا
0778,الان مدرسه الان معرفه رسم,اليوم في المدرسه تعلمت الرسم
0779,انا رغبه شراء عشرون متر م ت ر قماش,احتاج ان اشتري عشرين متر قماش
0780,انا ام الان صباح اكل خلط,امي اعدت فطور اليوم
0781,انا حب السعوديه,انا احب السعوديه
0782,انا ذهاب وقت اربع,ساذهب الساعه الرابعه عصرا
0783,انا رغبه ذهاب طياره سوال المغرب,انا ارغب بالسفر لدوله المغرب
0784,انا زكام اسبوع_ماضي,انا اصبت بالزكام الاسبوع الماضي
0785,انا عمل وقت ثمان_ساعات كل_يوم,انا اعمل ثمان ساعات يوميا
0786,انا ذهاب صيدليه مع اب,ذهبت الى الصيدليه مع ابي
0787,شخص ولد هو كفيف وجوب مساعده,الشخص الكفيف يحتاج الى المساعده
0788,انا اخ بنت زواج ابن عمر سن اثنان,اختي متزوجه و لديها ولد عمره سنتان
0789,سبب راتب شهر,لماذا لم تستلم الراتب
0790,انا اخ مدرسه تركيز,اخي يدرس بتركيز
0791,استفهام هو رغبه مشاهده فيلم سينما تلفاز مشاهده,هل تريد ان تشاهد فيلم في التلفيزيون
0792,انا منزل جانب هذا ولد كريم طيب,جارنا رجل طيب و كريم
0793,سبب جميع تعب اعاقه سبب,لماذا الجميع متعبين و منهكين
0794,مشاركه مع اخ بنت تكنيس نظيف منزل,اشارك اختي في تنظيف المنزل
0795,سياحه ترفيه ممنوع الان,التجول ممنوع الان
0796,بعد اكل وجوب صحن غسل نظيف,بعد اكل الطعام انظف صحني
0797,بعد غدا سفر اخ سوال وصول ابها,بعد غد يصل اخي الى ابها
0798,رغبه تذكره كاس عالم,اريد تذكره لكاس العالم
0799,اختيار اسود صباح,نقطف اشجار الزيتون في الصباح
0800,اب انا رئيس جمعيه صم السعوديه,ابي رئيس جمعيه الصم في السعوديه
